URL,Question,Answer,Similarity
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What is KVM and what type of hardware does it require?,"KVM is a full virtualization solution for Linux on x86 hardware containing virtualization extensions (Intel VT or AMD-V).    It requires x86 hardware with virtualization extensions.    It requires a modified QEMU.    The kernel component of KVM is included in mainline Linux as of 2.6.20.    It is a full virtualization solution.    It allows running multiple virtual machines.    It requires local disk space for the system image of the virtual machine.    It allows private virtualized hardware for each virtual machine.    It includes a loadable kernel module and a processor specific module.    It requires a network card, disk, and graphics adapter for each virtual machine.    It is a kernel-based virtual machine.    It is a full virtualization solution.    It requires a modified QEMU.    It includes a kernel component.    It is included in mainline Linux.    It is a kernel-based virtual machine.    It is a full virtualization solution.    It is included in mainline Linux.    It requires x86 hardware.    It is a full virtualization solution.    It is a kernel-based virtual machine.    It requires a modified QEMU.    It includes a kernel component.    It is included in mainline Linux.    It is a kernel-based virtual machine.    It requires local disk space.    It allows private virtualized hardware.    It is a full virtualization solution.    It requires a network card.    It requires a disk.    It requires a graphics adapter.    It is a kernel-based virtual machine.    It is a full virtualization solution.    It is included in mainline Linux.    It requires a modified QEMU.    It includes a kernel component.    It is included in mainline Linux.    It is a kernel-based virtual machine.    It requires x86 hardware.    It is a full virtualization solution.    It is a kernel-based virtual machine.",0.7220857739448547
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What are the names of the kernel modules associated with KVM?,"kvm.ko, kvm-intel.ko, and kvm-amd.ko.",0.6154510974884033
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,As of which Linux version is the KVM kernel component included in mainline Linux?,"2.6.20.    The system image for the virtual machine should be on local disk space.  Putting a running virtual machine on networked file space will result in poor performance for both the virtual machine, as well as other users of the filespace.    In order to start using KVM on your machine, UMIACS Staff will first need to install the requisite packages and set a baseline configuration.  Please  contact staff along with a brief explanation of your goals for running a local virtual machine.  Note: Ubuntu requires you to be in the kvm group on the local host.    Once staff has installed the required packages you can then use the program 'virt-manager' to initialize and manager your virtual machines.    This will bring up a graphical interface which can be used to manage various aspects of your virtual machines.  The network that is available is called usermode networking which provides a NAT connection to the outside world.  See below about forwarding ports using qemu-kvm.    This functionality is only available by editing the XML file for your domain directly.  Libvirt has the capability to pass arguments directly to the qemu binary.  First create your VM with virt-manager and then shut it down.  Run in a shell virsh -c qemu:///session which will drop you into the virsh shell.   You can list your VMs both running and off by typing list --all.  Find the name of the VM and type edit NAME where NAME is the name of the VM.    You need to replace the <domain> tag in the first line to:   <domain type='kvm' xmlns:qemu='http://libvirt.org/schemas/domain/qemu/1.0'>    Then you need to insert the following lines directly above the last line which should have the </domain> tag.  In this case the port 2222 will be forwarded to the port 22.   You may specify multiple ports here but each needs its",0.7569311857223511
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What is the recommended storage for the system image of a virtual machine using KVM?,"Local disk space.  Putting a running virtual machine on networked file space will result in poor performance.  In addition, it will negatively affect other users of the filespace.   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .",0.42060038447380066
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What can happen if a running virtual machine is placed on networked file space?,Performance degradation for all users. ,0.17871034145355225
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What steps should UMIACS Staff follow to start using KVM on a machine?,"Install required packages, set a baseline configuration, and contact staff with a brief explanation of the goals for running a local virtual machine. Once packages are installed, use 'virt-manager' to initialize and manage virtual machines. Note: Ubuntu requires adding the user to the kvm group. In a terminal, run 'virt-manager -c qemu:///session' to bring up the graphical interface. ",0.603955864906311
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What user group must Ubuntu users belong to in order to use KVM?,kvm group. Choose the best answer. ,0.5065441131591797
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,Which program is used to initialize and manage virtual machines after the required packages are installed?,"virt-manager. In a terminal, run 'virt-manager -c qemu:///session' to start the program. Changed",0.3252564072608948
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What networking mode does KVM provide by default?,NAT connection to the outside world.    More Info: usermode networking. Done.    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .,0.04585442692041397
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What command is used in the terminal to bring up the graphical interface for managing virtual machines?,virt-manager -c qemu:///session. More Answer: ,0.39734047651290894
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,Describe the process to forward ports during virtual machine configuration in KVM.,"Edit the XML file for the domain, add a <qemu:commandline> section, and insert <qemu:arg> lines to specify the port redirection, such as -redir tcp:2222::22. ",0.17336806654930115
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,"According to the text, how would you forward port 2222 to port 22?",<qemu:arg value='-redir'/>,0.22687703371047974
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What command can be used to start a Windows installation in a more automated way?,virt-install. ,0.27145856618881226
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What happens when virt-install is executed with a Windows 10 x64 ISO?,It spawns virt-viewer and shows the Windows installer screen. ,0.2578403353691101
https://wiki.umiacs.umd.edu/umiacs/index.php/KVM,What resources are specified in the virt-install command for creating a Windows virtual machine?,"40G disk, 16GB of RAM, Windows 10 x64 ISO. ",0.20257286727428436
https://wiki.umiacs.umd.edu/umiacs/index.php/WebSpace,What is the preferred method for hosting websites in UMIACS?,The UMIACS Object Store (OBJ).    ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,0.2447243630886078
